job,url,notice_status,work_status,done_time
DA,https://www.wanted.co.kr/wd/254847,deleted,done,2024-12-19 11:46:16
DA,https://www.wanted.co.kr/wd/85810,deleted,done,2024-12-19 11:46:16
FE,https://www.wanted.co.kr/wd/256406,deleted,done,2024-12-19 11:46:16
FE,https://www.wanted.co.kr/wd/233556,deleted,done,2024-12-19 11:46:16
BE,https://www.wanted.co.kr/wd/255785,deleted,done,2024-12-19 11:46:16
FE,https://www.wanted.co.kr/wd/256499,deleted,done,2024-12-19 11:46:16
DE,https://www.wanted.co.kr/wd/159038,deleted,done,2024-12-19 11:46:16
DE,https://www.wanted.co.kr/wd/256660,deleted,done,2024-12-19 11:46:16
DA,https://www.wanted.co.kr/wd/251500,deleted,done,2024-12-19 11:46:16
BE,https://www.wanted.co.kr/wd/256460,exist,done,2024-12-19 11:46:16
DE,https://www.wanted.co.kr/wd/247509,exist,done,2024-12-19 11:46:16
DA,https://www.wanted.co.kr/wd/253145,exist,done,2024-12-19 11:46:16
DA,https://www.wanted.co.kr/wd/255830,exist,done,2024-12-19 11:46:16
MLE,https://www.wanted.co.kr/wd/249541,exist,done,2024-12-19 11:46:16
MLE,https://www.wanted.co.kr/wd/253794,exist,done,2024-12-19 11:46:16
FE,https://www.wanted.co.kr/wd/255787,exist,done,2024-12-19 11:46:16
BE,https://www.wanted.co.kr/wd/256240,exist,done,2024-12-19 11:46:16
MLE,https://www.wanted.co.kr/wd/225016,exist,done,2024-12-19 11:46:16
MLE,https://www.wanted.co.kr/wd/208822,exist,done,2024-12-19 11:46:16
BE,https://www.wanted.co.kr/wd/253904,exist,done,2024-12-19 11:46:16
BE,https://www.wanted.co.kr/wd/255380,exist,done,2024-12-19 11:46:16
DE,https://www.wanted.co.kr/wd/247828,exist,done,2024-12-19 11:46:16
DE,https://www.wanted.co.kr/wd/244681,exist,done,2024-12-19 11:46:16
FE,https://www.wanted.co.kr/wd/254513,exist,done,2024-12-19 11:46:16
BE,https://www.wanted.co.kr/wd/245599,exist,done,2024-12-19 11:46:16
DE,https://www.wanted.co.kr/wd/255720,exist,done,2024-12-19 11:46:16
DE,https://www.wanted.co.kr/wd/256414,exist,done,2024-12-19 11:46:16
DA,https://www.wanted.co.kr/wd/236632,exist,done,2024-12-19 11:46:16
FE,https://www.wanted.co.kr/wd/255985,exist,done,2024-12-19 11:46:16
FE,https://www.wanted.co.kr/wd/256498,exist,done,2024-12-19 11:46:16
DA,https://www.wanted.co.kr/wd/255880,exist,done,2024-12-19 11:46:16
DA,https://www.wanted.co.kr/wd/254584,exist,done,2024-12-19 11:46:16
BE,https://www.wanted.co.kr/wd/255905,exist,done,2024-12-19 11:46:16
DA,https://www.wanted.co.kr/wd/255814,exist,done,2024-12-19 11:46:16
MLE,https://www.wanted.co.kr/wd/236695,exist,done,2024-12-19 11:46:16
DA,https://www.wanted.co.kr/wd/254693,exist,done,2024-12-19 11:46:16
DA,https://www.wanted.co.kr/wd/240082,exist,done,2024-12-19 11:46:16
FE,https://www.wanted.co.kr/wd/255377,exist,done,2024-12-19 11:46:16
MLE,https://www.wanted.co.kr/wd/253132,exist,done,2024-12-19 11:46:16
BE,https://www.wanted.co.kr/wd/255848,exist,done,2024-12-19 11:46:16
DE,https://www.wanted.co.kr/wd/160880,exist,done,2024-12-19 11:46:16
DE,https://www.wanted.co.kr/wd/247011,exist,done,2024-12-19 11:46:16
